Session,Child Code,OT Code,Matlab Time in Seconds (half second interval),Child EDA Foot 1,Child EDA Foot 2,OT EDA Foot 1,OT EDA Foot 2,Activity Code
0,1,65,1249920066,0.026022445,0.003922,0.035714,0.017682,0
0,1,65,1249920066,0.02641488,0.003922,0.035714,0.017682,0
0,1,65,1249920067,0,0.003922,0.035714,0.017682,0
0,1,65,1249920067,0,,0.035714,0,0
0,1,65,1249920068,0,,0.035714,0,0
0,1,65,1249920068,0,0.003922,0.035714,0,0
0,1,65,1249920069,0,0.003922,0.035714,0,0
0,1,65,1249920069,0,0.00404321,0,0.017682,0
0,1,65,1249920070,0,0.004459312,0,0.017682,0
0,1,65,1249920070,0,,0,0.017682,0
0,1,65,1249920071,0,,0,0.017682,0
0,1,65,1249920071,0,,0,0.017682,0
0,1,65,1249920072,0,,0,0.017682,0
0,1,65,1249920072,0,,0,0.017682,0
0,1,65,1249920073,0,,0,0.017682,0
0,1,65,1249920073,0,0.009634073,0,,0
0,1,65,1249920074,0.029829678,0.009822309,0,,0
0,1,65,1249920074,0.029868159,0.009823,0,,0
0,1,65,1249920075,0.02988,0.009823,0,,0
0,1,65,1249920075,0.02988,0,,0.017682,0
0,1,65,1249920076,0.02988,0,,0.017682,0
0,1,65,1249920076,0.02988,0,,0.017682,0
0,1,65,1249920077,0.02988,0,,0.017682,0
0,1,65,1249920077,0,,0,0.017682,0
0,1,65,1249920078,0,0.009823,0,0.017682,0
0,1,65,1249920078,0,0.009823,0,0.017682,0
0,1,65,1249920079,0,0.009823,0,0.017682,0
0,1,65,1249920079,0,0.009823,0,0.017682,0
0,1,65,1249920080,0,0.009823,0,0.017682,0
0,1,65,1249920080,0,0.009823,0,0.017682,0
0,1,65,1249920081,0,0.009823,0,0.017682,0
0,1,65,1249920081,0,0.009823,0,0.017682,0
0,1,65,1249920082,0,0.009823,0,0.017682,0
0,1,65,1249920082,0,0.011370852,0.035714,0.017682,0
0,1,65,1249920083,0,0.011811,0.035714,0.017682,0
0,1,65,1249920083,0,0.011811,0.035714,0.017682,0
0,1,65,1249920084,0,0.011811,0.035714,0,0
0,1,65,1249920084,0,0.013517389,0,,0
0,1,65,1249920085,0,0.01378,0,,0
0,1,65,1249920085,0,0.01378,0,,0
0,1,65,1249920086,0,0.01378,0,,0
0,1,65,1249920086,0,0.01378,0,,0
0,1,65,1249920087,0,0.01378,0,,0
0,1,65,1249920087,0,0.01378,0,0.017682,0
0,1,65,1249920088,0,0.01378,0,0.017682,0
0,1,65,1249920088,0,0.01378,0,0.017682,0
0,1,65,1249920089,0,0.01378,0,0.017682,0
0,1,65,1249920089,0,0.013924901,0,0.017682,0
0,1,65,1249920090,0,0.014751355,0,0.017682,0
0,1,65,1249920090,0.02988,0.01600652,0,0.017682,0
0,1,65,1249920091,0.02988,0.017339858,0.035714,0.017682,0
0,1,65,1249920091,0.02988,0.018400261,0.035714,0.017682,0
0,1,65,1249920092,0.02988,0.019315698,0.035714,0.017682,0
0,1,65,1249920092,0.029956979,0.020763596,0.035714,0.017682,0
0,1,65,1249920093,0.033633612,0.02714564,0.035714,0.017682,0
0,1,65,1249920093,0.031945661,0.031809,0.035714,0.017682,0
0,1,65,1249920094,0.032536664,0.031809,0.035714,0.017682,0
0,1,65,1249920094,0.033468125,0.031809,0.035714,0.017682,0
0,1,65,1249920095,0.033932,0.031809,0.035714,0,0
0,1,65,1249920095,0.033932,0.031191789,0.035714,0.017682,0
0,1,65,1249920096,0.033932,0.028564849,0.035714,0.017682,0
0,1,65,1249920096,0.033899242,0.02871069,0.035714,0.017682,0
0,1,65,1249920097,0.033435196,0.030313697,0.035714,0.017682,0
0,1,65,1249920097,0.032629628,0.031450214,0.035714,0.017682,0
0,1,65,1249920098,0.031713474,0,0.035714,0.017682,0
0,1,65,1249920098,0.03015742,0.033242517,0.035714,0.017682,0
0,1,65,1249920099,0.028521472,0.033708995,0.035714,0.017682,0
0,1,65,1249920099,0.027888,0.031363289,0.035714,0.017682,0
0,1,65,1249920100,0.027888,0.023604543,0.035714,0.017682,0
0,1,65,1249920100,0.027805178,0.022987167,0.035714,0.017682,0
0,1,65,1249920101,0.027577357,0,0.035714,0.017682,0
0,1,65,1249920101,0,,0.035714,0.017682,0
0,1,65,1249920102,0,,0.035714,0.017682,0
0,1,65,1249920102,0,0.021810849,0.035714,0.017682,0
0,1,65,1249920103,0,0.021748418,0.035714,0.017682,0
0,1,65,1249920103,0.025937877,0.022428089,0.035714,0.017682,0
0,1,65,1249920104,0.025845086,0.028924115,0.035714,0.017682,0
0,1,65,1249920104,0.027888,0.037069478,0.035714,0.017682,0
0,1,65,1249920105,0.027888,0.041397511,0,0.017682,0
0,1,65,1249920105,0.027880175,0.044598499,0,0.017682,0
0,1,65,1249920106,0.027513977,0,,0.017682,0
0,1,65,1249920106,0,,0,0.017682,0
0,1,65,1249920107,0,,0,0.017682,0
0,1,65,1249920107,0.024856407,0,,0.017682,0
0,1,65,1249920108,0.024141376,0,0.035714,0.017682,0
0,1,65,1249920108,0.023857,0,0.035714,0.017682,0
0,1,65,1249920109,0.023857,0,0.035714,0.017682,0
0,1,65,1249920109,0.023857,0.061636283,0.035714,0.017953022,0
0,1,65,1249920110,0.023862792,0.062279457,0.035714,0.018587513,0
0,1,65,1249920110,0.024921389,0.0625,0,0.019257462,0
0,1,65,1249920111,0.025845,0.062309995,0,0.019634551,0
0,1,65,1249920111,0.025845,0.059832121,0,0.019646,0
0,1,65,1249920112,0.025845,0.058199055,0,0.019646,0
0,1,65,1249920112,0.025845,0.056365679,0,0.019646,0
0,1,65,1249920113,0.025845,0.054747934,0,0.019646,0
0,1,65,1249920113,0.025864913,0.054297463,0,,0
0,1,65,1249920114,0.027562691,0.056208547,0,,0
0,1,65,1249920114,0.02988,0.058557338,0,,0
0,1,65,1249920115,0.02988,0.060028532,0,,0
0,1,65,1249920115,0.02988,0.060262064,0,,0
0,1,65,1249920116,0.02988,0.05835,0,,0
0,1,65,1249920116,0.029913132,0.058165804,0.035714,0,0
0,1,65,1249920117,0.031847926,0.052690125,0.035714,0,0
0,1,65,1249920117,0.031936,0.047858291,0.035714,0.019646,0
0,1,65,1249920118,0.031936,0.045103348,0.035714,0.019646,0
0,1,65,1249920118,0.031936,0,0.035714,0.019646,0
